"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Focused UI","Focus on Active Task","⇧⌥H","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"View","Zoom Out","⌘-","In Windows"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Terminal view commands","Quick Access","⌥→","Terminal Widget in Focus"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Text Editing","Next Word","⌥→","Editing Text"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Widget in Focus"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Source","Show Source Quick Menu","⌃⌘S","JavaScript View"
"Source","Organize Imports","⇧⌘O","In Windows"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥L","Terminal Typing Connected"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Edit","Select Previous Element","⇧⌃↖","Editing Java Source"
"Edit","Add Block Comment","⌃/","Editing in Structured Text Editors"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Edit","Find and Replace","⌘F","In Windows"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Navigate","Open Declaration","F3","JavaScript View"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"File","Close","⌘W","In Windows"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"ProjectCreation","ProjectCreation File Edit","⇧⌥⌘E","Jeju View Scope"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Window","Next Editor","⌘F6","In Windows"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Run/Debug","Run to Line","⌘R","Debugging"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Text Editing","Text End","⌘↘","Editing Text"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Move Lines Down","⌘↓","Editing Text"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Server","fileEdit","⇧⌥⌘E","In Service Servers View"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected"
"Edit","Rename","⇧⌥R","Editing JSP Source"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Uncategorized","dashboard command","⇧⌥⌘H","In Windows"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"SpringExt Commands","Cleanup Unused Namespaces","⇧⌘O","SpringExt Configuration File Editor Scope"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Edit","Word Completion","⌃.","Editing Text"
"Search","Declaration in Workspace","⌘G","In Windows"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Navigate","Quick Outline","⌘O","PDE editor"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Run/Debug","Terminate","⌘F2","Debugging"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Navigate","Open Type","⇧⌘T","In Windows"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","⌃⌘T","In Windows"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Terminal view commands","Paste","⇧⌘V","Terminal Widget in Focus"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Terminal view commands","Copy","⇧⌘C","Terminal Widget in Focus"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Navigate","Forward History","⌘→","In Windows"
"Edit","Content Assist","⌘.","In Dialogs and Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Text Editing","Duplicate Lines","⌃⌘↓","Editing Text"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Text Editing","Text End","↘","Editing Text"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Terminal view commands","Terminal view insert","⌥W","Terminal Typing Connected"
"Edit","Incremental Find","⌘J","Editing Text"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Edit","Word Completion","⌥⌘/","Editing Text"
"Run/Debug","Step Over","⌘'","Debugging"
"Refactor - JavaScript","Show Refactor Quick Menu","⌃⌘T","JavaScript View"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Window","Quick Switch Editor","⌘E","In Windows"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Server","fileEdit","⇧⌥⌘E","In Servers View"
"Run/Debug","Debug","⌘F11","In Windows"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Terminal view commands","Copy","⌘C","Terminal Widget in Focus"
"Navigate","Show In...","⌥⌘W","In Windows"
"File","Rename","F2","In Windows"
"Git","Commit...","⌥⌘3","In Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Text Editing","Move Lines Up","⌘↑","Editing Text"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Source","Format","⇧⌘F","Editing Java Source"
"Edit","Find Next","⌘K","Editing Text"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Views","Show View","⌥⌘Q Q","In Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"Run/Debug","EOF","⌃D","In I/O Console"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Terminal view commands","Terminal view insert","⌥S","Terminal Typing Connected"
"Navigate","Activate Task","⌘F9","In Windows"
"Edit","Delete","⌦","In Windows"
"Source","Show Source Quick Menu","⌃⌘S","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Run/Debug","Run XSLT Transformation","⌥⌘X X","In Windows"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
